                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3204,                 2.7956,                 1.7792,                0.00333,                0.09605,                0.00223,                0.00072,                 3.4091,                 3.8329,                 3.0216,                0.00032,                0.00032,                0.00032
                      2,                 1.4999,                 1.2923,                 1.1888,                0.00711,                0.20491,                0.02393,                0.01037,                 3.2867,                 3.8023,                 2.7489,             0.00064812,             0.00064812,             0.00064812
                      3,                 1.2996,                0.98872,                 1.0708,                0.74669,                0.43223,                0.50374,                0.28731,                 1.6258,                 2.3992,                 1.4186,               0.000964,               0.000964,               0.000964
                      4,                 1.2093,                0.88356,                 1.0306,                0.84019,                0.79402,                 0.8689,                0.57207,                 1.2147,                 1.1418,                  1.054,              0.0012676,              0.0012676,              0.0012676
                      5,                 1.1829,                0.83257,                  1.019,                0.83315,                0.83458,                0.90286,                0.59659,                  1.164,                 0.9208,                 1.0025,               0.001559,               0.001559,               0.001559
                      6,                 1.1612,                 0.8034,                 1.0124,                0.89205,                0.83782,                0.93558,                0.62424,                 1.1895,                0.80176,                 1.0178,                0.00182,                0.00182,                0.00182
                      7,                 1.1416,                0.78718,                0.99836,                0.84506,                0.90715,                0.93388,                0.63701,                 1.0877,                0.77533,                0.98201,               0.001784,               0.001784,               0.001784
                      8,                 1.1093,                 0.7681,                0.99601,                0.79195,                0.89648,                0.90335,                0.62361,                  1.094,                 1.0487,                0.99662,               0.001748,               0.001748,               0.001748
                      9,                 1.1146,                0.72822,                0.99716,                0.86372,                0.92209,                0.94262,                0.65722,                 1.0452,                  1.014,                0.97965,               0.001712,               0.001712,               0.001712
                     10,                 1.1074,                0.70847,                0.99328,                0.83941,                0.88687,                0.93531,                0.64443,                  1.112,                0.81316,                0.98731,               0.001676,               0.001676,               0.001676
                     11,                 1.0874,                0.69909,                0.98629,                0.81702,                0.92529,                0.91389,                0.62764,                 1.0625,                0.80513,                0.97728,                0.00164,                0.00164,                0.00164
                     12,                 1.0869,                0.65859,                0.98149,                   0.87,                0.91417,                 0.9524,                0.66779,                 1.0812,                0.67212,                0.98111,               0.001604,               0.001604,               0.001604
                     13,                 1.0722,                0.65347,                0.97386,                0.88126,                0.92677,                 0.9621,                0.69994,                 1.0228,                0.62218,                0.96307,               0.001568,               0.001568,               0.001568
                     14,                 1.0749,                0.67102,                0.97561,                0.89653,                0.90502,                0.96196,                0.68747,                 1.0364,                0.66476,                0.96451,               0.001532,               0.001532,               0.001532
                     15,                 1.0516,                 0.6408,                0.97075,                0.90666,                0.89755,                0.96719,                0.69354,                 1.0218,                0.61604,                0.96199,               0.001496,               0.001496,               0.001496
                     16,                 1.0573,                0.62808,                0.96078,                0.88646,                0.93321,                0.96202,                0.68663,                 1.0386,                0.64285,                0.96742,                0.00146,                0.00146,                0.00146
                     17,                 1.0579,                0.61619,                 0.9663,                0.90505,                0.92575,                0.96879,                0.70072,                 1.0221,                0.63488,                0.95658,               0.001424,               0.001424,               0.001424
                     18,                 1.0191,                0.59986,                 0.9583,                0.89369,                0.91462,                0.96263,                0.69287,                 1.0226,                0.58687,                0.96425,               0.001388,               0.001388,               0.001388
                     19,                 1.0263,                0.59764,                0.96088,                0.89076,                0.91676,                0.96656,                0.69327,                 1.0232,                0.61307,                 0.9595,               0.001352,               0.001352,               0.001352
                     20,                 1.0245,                0.58788,                 0.9608,                0.91603,                0.88479,                0.96349,                0.69278,                 1.0321,                0.56897,                0.95849,               0.001316,               0.001316,               0.001316
                     21,                 1.0136,                 0.5815,                0.95509,                0.90339,                 0.8982,                 0.9639,                0.69015,                 1.0334,                 0.5688,                0.95586,                0.00128,                0.00128,                0.00128
                     22,                 1.0143,                0.56776,                0.95335,                 0.8979,                0.92316,                0.96374,                 0.6977,                0.98989,                0.56303,                0.94673,               0.001244,               0.001244,               0.001244
                     23,                 1.0019,                 0.5713,                0.95491,                0.85957,                0.92762,                0.95753,                0.70179,                 0.9846,                  0.554,                0.94608,               0.001208,               0.001208,               0.001208
                     24,                 1.0089,                0.55811,                0.94823,                0.89488,                0.92956,                0.96337,                0.69132,                 1.0031,                0.60426,                0.95132,               0.001172,               0.001172,               0.001172
                     25,                0.98739,                0.56282,                0.94535,                0.90143,                0.90771,                0.96487,                0.70397,                 1.0021,                 0.5564,                0.95666,               0.001136,               0.001136,               0.001136
                     26,                      1,                0.56855,                0.94614,                0.92815,                0.91249,                0.97478,                0.71591,                0.98939,                0.53759,                0.94556,                 0.0011,                 0.0011,                 0.0011
                     27,                0.97301,                0.54281,                0.93961,                0.90376,                0.92743,                0.97181,                0.72213,                0.97897,                0.53417,                0.93781,               0.001064,               0.001064,               0.001064
                     28,                0.97192,                 0.5428,                 0.9441,                0.90753,                0.92175,                0.96525,                0.71776,                0.98259,                0.52717,                0.94251,               0.001028,               0.001028,               0.001028
                     29,                0.99089,                0.55253,                0.94446,                0.91656,                0.91142,                0.97287,                0.70698,                 1.0276,                0.53323,                0.95613,               0.000992,               0.000992,               0.000992
                     30,                0.96519,                0.53214,                0.94387,                0.91572,                0.92764,                0.97063,                0.71083,                 1.0182,                0.53878,                0.95003,               0.000956,               0.000956,               0.000956
                     31,                0.96845,                0.53815,                0.94075,                0.91576,                0.91355,                 0.9731,                0.72042,                0.97903,                0.52295,                0.93932,                0.00092,                0.00092,                0.00092
                     32,                0.95588,                 0.5298,                0.93795,                 0.9122,                0.93063,                0.97499,                0.72613,                0.97262,                0.53258,                0.93676,               0.000884,               0.000884,               0.000884
                     33,                0.96605,                0.53311,                0.93881,                0.92026,                0.91569,                0.97233,                0.71709,                0.97408,                0.52116,                0.93912,               0.000848,               0.000848,               0.000848
                     34,                0.95207,                0.53694,                0.93214,                 0.9083,                0.92956,                0.97386,                0.71796,                0.95877,                0.54809,                0.94192,               0.000812,               0.000812,               0.000812
                     35,                0.95383,                0.51869,                0.93198,                0.89026,                0.92639,                0.96261,                0.69612,                 1.0033,                0.54719,                0.94979,               0.000776,               0.000776,               0.000776
                     36,                0.96605,                 0.5375,                0.93842,                0.91105,                0.92529,                0.97582,                0.72595,                0.95961,                0.51834,                0.93874,                0.00074,                0.00074,                0.00074
                     37,                0.94951,                0.51462,                0.93461,                0.89203,                0.94877,                0.97067,                0.72374,                0.95498,                0.50098,                0.93675,               0.000704,               0.000704,               0.000704
                     38,                 0.9317,                0.50987,                0.93206,                 0.9017,                0.94237,                0.97299,                0.73163,                0.95189,                0.49546,                0.93819,               0.000668,               0.000668,               0.000668
                     39,                0.93927,                0.50896,                0.93489,                 0.9109,                0.92744,                  0.976,                0.73156,                0.95933,                0.49668,                0.93467,               0.000632,               0.000632,               0.000632
                     40,                0.92114,                0.49597,                 0.9206,                0.91362,                0.93703,                  0.975,                0.73598,                0.94721,                0.48163,                0.93235,               0.000596,               0.000596,               0.000596
                     41,                0.91785,                0.48793,                0.93356,                0.90786,                0.92532,                0.96884,                0.73131,                0.95616,                0.50023,                0.93746,                0.00056,                0.00056,                0.00056
                     42,                0.90054,                0.47046,                0.92244,                 0.9239,                0.91988,                0.96994,                0.72472,                0.96808,                0.48669,                0.93821,               0.000524,               0.000524,               0.000524
                     43,                0.90844,                0.47455,                 0.9283,                0.90904,                0.93703,                0.97365,                0.72303,                0.96578,                0.51915,                0.93976,               0.000488,               0.000488,               0.000488
                     44,                  0.892,                 0.4708,                0.91962,                0.91596,                0.92209,                 0.9754,                0.71497,                  1.019,                 0.5026,                0.95819,               0.000452,               0.000452,               0.000452
                     45,                0.90675,                0.46343,                0.92354,                0.91372,                0.92678,                 0.9721,                0.73222,                0.94743,                0.48712,                0.93483,               0.000416,               0.000416,               0.000416
                     46,                0.89277,                 0.4624,                0.91847,                0.89616,                0.93947,                0.97284,                0.72436,                0.95283,                0.50753,                0.93467,                0.00038,                0.00038,                0.00038
                     47,                0.88969,                0.46666,                0.91814,                0.90402,                0.94237,                0.97462,                0.72653,                0.96598,                0.48834,                0.93791,               0.000344,               0.000344,               0.000344
                     48,                0.87935,                0.45865,                0.91783,                 0.9013,                0.95197,                 0.9726,                0.72948,                 0.9482,                0.47651,                0.93356,               0.000308,               0.000308,               0.000308
                     49,                0.87836,                0.44775,                0.91737,                0.90883,                0.94684,                0.97588,                0.74047,                0.94528,                0.47296,                0.93151,               0.000272,               0.000272,               0.000272
                     50,                0.87571,                0.44636,                 0.9173,                 0.9071,                0.94833,                0.97518,                0.73667,                0.94909,                0.47197,                0.93143,               0.000236,               0.000236,               0.000236
